,AF3_Delta,AF3_Theta,AF3_Alpha,AF3_Beta,AF3_Gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,FC5_Delta,FC5_Theta,FC5_Alpha,FC5_Beta,FC5_Gamma,T7_Delta,T7_Theta,T7_Alpha,T7_Beta,T7_Gamma,P7_Delta,P7_Theta,P7_Alpha,P7_Beta,P7_Gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,P8_Delta,P8_Theta,P8_Alpha,P8_Beta,P8_Gamma,T8_Delta,T8_Theta,T8_Alpha,T8_Beta,T8_Gamma,FC6_Delta,FC6_Theta,FC6_Alpha,FC6_Beta,FC6_Gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,AF4_Delta,AF4_Theta,AF4_Alpha,AF4_Beta,AF4_Gamma
0,91359.81788111661,3466.2009446104275,2000.8490199313426,1031.1081088274066,528.9596202222265,135063.85961078666,345.18022432119255,492.90404601869665,111.7221759403497,33.95618580322746,124541.7519222859,204.1469255788174,305.13838605578655,111.39018964004718,33.92192140853528,132706.0428731067,373.8604151984025,417.4649809666948,98.75748732606246,31.637940991418972,147165.3292536475,88.94507950462811,307.49787081433135,55.809128461865754,21.964915928192802,160006.28075854114,171.3593164977944,280.6230141892723,97.38333742474437,27.460276717282,150248.82728931773,188.46634502210242,576.6556420711488,150.49063501257,22.232088720602157,133492.8639814605,221.05164764243438,583.0440802042242,150.91323295356344,47.04480799264084,134198.8659347366,163.07010819013817,485.1043732379009,136.016781194187,34.671395930618175,134454.351910781,220.59920826536364,459.81868905622554,137.32225008532225,34.16702848314362,136967.53378783367,247.74470301579527,523.484104541865,155.23007780789047,33.496579211953915,154381.77423070636,273.21702060002656,465.3336097149851,167.7572945916354,45.28212989486865,121074.96353075394,387.38956967371536,572.4153948119487,137.53851153890247,28.777235243283165,144548.52991578347,346.29960448816144,500.06172076349304,143.27855341451996,30.214991891298588
1,106463.20532996581,1729.5193261197314,983.5467533302756,486.56310359461867,261.6798814203386,134385.95309696582,306.45315562233804,425.68057523499886,106.84334913952183,40.78580798383733,125177.42606830645,243.65607889144547,333.0841957012541,117.84571323132178,25.84326935148911,133063.19539448404,286.05093530771603,349.02077847827945,116.21675227251973,47.68336291589584,147156.106863594,164.177078077861,249.39528517328867,85.8067443077212,25.43833970448793,160073.45775604536,195.43590164024116,382.78396502613793,88.12011998518072,24.59439040262322,150418.17973116002,333.4183027237133,554.6129643194741,128.73079121993777,30.184460795240813,134113.5502074714,418.40116920430444,733.9724285051617,198.09126584832038,39.79708089750274,134428.68067051022,290.72654856532733,469.91141307166333,162.36922088323624,39.25711950146887,134774.32803477626,325.1344969009834,294.0936840014549,137.39350143460763,44.12514607491552,137349.27946599803,205.73374439118163,366.1335707709143,120.39219703001248,36.100974114367844,155789.53071517425,260.62297679899945,331.48537019927164,128.63167076764546,41.99735176973362,119438.19491196302,208.41802296598928,434.2273877570947,115.09425130349129,36.51833326796051,144173.26640615045,300.23713771011865,375.7875246071168,138.65736930068726,52.584315493534774
2,112375.96143686735,397.53542919359785,524.4715803704771,227.9077050226795,106.7089984419896,134823.80668743062,333.4009015692895,188.52297553139027,71.02448745130204,28.98132644392339,124571.21690956493,317.90655285725586,205.77345213840854,90.66525563244733,24.31775580001179,133796.91972774078,95.6018735470546,190.89688843520463,79.74578842106177,32.11080570411442,146865.70123884946,129.54547041262867,128.24888703234393,60.6659837499322,19.785194062590563,159762.41663880262,120.58383287926203,113.66588682479312,74.83998867241043,18.207581835639143,150382.99669548296,149.01775610114277,212.29413491092146,80.61446052928176,22.894942420025775,134301.42389579926,217.62041952572127,457.6534482572465,144.53027898829873,38.721248816914,134178.89759777824,175.5724322804415,459.50091036542295,129.17678901339605,27.80181718343982,134317.03200547682,218.68923327020076,395.58358351495804,130.59155667718704,38.08895840285642,137321.16907269869,239.4275354945048,290.5192963108085,139.2042043226832,33.97028807598152,155124.62347710645,310.9046335949389,290.13677173252563,126.06345977121094,35.198362995874284,122190.9315308454,186.84671210509356,476.2934708420495,162.65495536069864,66.43448457203489,145135.48384365565,488.1402068652971,266.047081631353,114.34798841027616,29.363190284734983
3,117635.54958577629,437.91579614494435,267.8406851322747,166.43826426758886,84.5690034137658,135691.56920903138,235.0596909483393,136.8760465749938,80.17642635250178,35.51576879638159,125061.18618128978,152.6942474785462,129.9525554968351,81.84709243716367,22.933014698030874,135489.5935445354,275.2219424918733,130.2830490757202,81.30057554202311,43.498713466348406,148433.3674337452,174.68748684919495,77.12369959826076,50.315084313139415,26.864998150862228,160635.76437970222,129.11081420654088,124.57392430989111,63.1431982895953,29.637351892928905,152399.05834016437,325.72873217856943,215.5750612849088,83.39105325481269,45.15678223679412,135056.59515624345,197.67056055584055,154.66560445197118,91.40805364143583,34.39369820596506,135595.04582177714,157.70624665095977,213.89124901468222,87.50350336010753,37.74204904974286,135540.0651754065,207.71717445344268,219.12016560352652,90.54340059928529,36.56869133582072,137897.65151531392,226.70881571992726,181.55017769928463,93.34084550494967,41.01636081885223,156183.4071416706,278.00681043630084,152.11032957354902,113.94029337985593,56.53824231718547,124049.52826708606,317.88253314323896,155.2353554601412,95.43287406038715,45.65558468477364,146356.19080980623,264.4124244615234,151.07407399534378,99.98636263771972,39.844316292296426
4,120013.82268363493,303.0016529691405,225.00913651325322,76.16066358264621,34.170736658609876,135792.3678218897,192.1567567290202,222.62834009003416,79.32294966993123,30.01957927224486,124382.34878386097,106.98803734027237,168.96844404259954,66.49571786575626,25.468408099039795,135837.91190453776,240.02269128210563,141.15678860539919,89.79677051292771,37.67870243088263,147659.5104979296,174.58713913806832,138.76688713906955,92.76591891771034,38.473129634899855,160086.94210224858,195.10221517235667,111.45321549529626,96.94537035800194,28.768780912041766,152268.26790642054,123.59906318001993,102.2068719840959,95.47018501992767,31.994287981769723,134059.54494157943,244.2146153015032,257.4364190379771,127.73782907714023,47.97043640649379,134959.06701418982,203.27270327065838,247.01775413353965,114.1286027367443,45.01425457613447,134813.9451781043,187.65068498835046,242.7746776024746,115.29570520052084,44.515349370738896,137532.0503898034,218.98865906369576,220.34474247199927,125.37140245189181,48.14785429178794,156206.3924574031,317.9304572642636,266.52903943629445,141.75796059861565,66.24331733314476,124046.4423936276,296.77685739344395,227.95274743066426,116.28201710361148,37.37970379695785,145786.22545306594,237.11075726817091,246.58556599232298,123.57904114204705,47.67118314328854
5,123048.22956122579,773.5109615449649,240.8067591116993,128.45283866867865,87.51608490564885,136597.86790496198,436.74894541250376,154.82626857633255,86.45866417114401,47.109196347049355,126711.33964196194,454.5739010667287,249.8200562614122,107.44972060376064,66.89051220715983,136024.96668384303,552.3313242007008,226.89273169446784,115.41847301461874,79.02562216714355,147366.25943940142,286.47231677864,137.96879913235637,109.09907481405168,49.47014273166257,160181.0679374076,449.3813714136544,243.78477422309447,128.08502119027378,64.49832990520574,152392.67638277027,383.39412019195083,227.68192512213574,101.71748492275984,50.09598951861715,133868.5671261886,271.3713234922357,194.2253005992546,129.02872442619883,57.515691924202464,134746.14511883142,303.51037219627995,189.37930941610574,125.9834197381808,56.5810356219891,134915.94189542372,326.45814969753263,236.52042230021996,142.9429400123818,60.50518866384157,137344.61541042352,326.53134482946695,247.98277693723628,129.70725257620086,47.70260506820769,154690.6268009406,335.968924340559,199.07007705562037,110.48845875033822,44.82657391611043,126096.63076985006,671.5763537478833,328.2437547766994,159.50926972178289,92.52821485975089,145210.63634255368,460.594608454267,150.6613034986559,109.89491610920373,36.518450315409886
6,126553.8664153084,289.832894362509,155.6991243294281,97.29266512410571,53.897981908831746,138360.69058211157,153.23534728528483,167.13822292097194,72.1735988461645,28.472637870710205,127964.88325234452,256.538903254885,131.30789468456487,77.90039354936576,28.1890177325217,138792.6271122362,208.56761687244688,143.3981036876941,76.17978509210248,27.540521241503242,149423.35789440986,117.95268261719839,114.97886584043161,50.42923021435276,19.108817082691065,163149.98122849723,69.60786788633115,94.53510519956379,59.13623994707864,17.211786024398098,153971.89934272208,143.0047496367247,169.1758485197517,80.21007469709271,27.857738172751834,134912.1135572176,162.21056703469873,200.69270028209175,100.6467606270745,31.63828534919486,136251.6764097076,138.374223790335,219.21638589549912,79.60956394246085,30.11831146224947,136568.23477134664,171.8705054931183,196.80877149380194,77.61123431043163,30.561617596803877,139046.23620381203,203.73356635439742,130.67051255287674,92.60057108763156,43.12680109023882,157920.1881032764,381.9286052742089,242.63583271519613,119.9417057758647,65.40506659462115,127925.62171887916,267.0562307119941,143.2100950471994,90.53778556791397,29.481035338892074,146795.74315375724,287.43326744571954,171.01550341007015,89.72655189561809,37.149623444917204
7,126859.35349407197,197.49980888616602,369.67988843797514,116.94241348446131,29.311714403555058,136859.73493852222,156.43552840319097,277.22256571733135,82.58130591025558,23.858465005079317,128490.13606291192,303.66179995180016,292.26403591110665,85.29680787521676,32.5746479678986,137067.65019446763,198.47026656254872,217.60317321250216,75.47394736692884,27.150334649858756,148263.4275298867,120.59175706221434,190.79841381719092,70.31706515859625,20.822863209833795,162383.72235296317,295.7017236654342,221.41127114793682,113.60068524129375,40.471046042228664,153285.29937439592,256.4072049157331,299.6493434953846,133.02034895306838,41.826915215386855,134388.67014169882,236.9487889115486,436.64783608462506,111.17516956879825,31.046500591494453,134712.68211053294,254.34214118895895,450.2977469310219,106.8231921965567,43.73329725959606,135463.66406567855,258.75058784983435,428.1058768160063,122.87969431379618,39.37109415107323,138507.13523721084,307.2742818714794,409.39100262845,116.61919813500693,40.91628857299944,157596.99637781276,361.4895263232964,409.9159950710242,101.33952804313103,44.75296595235367,127239.90044638318,411.0228174789128,434.7211072599125,134.9054680215398,67.34484069347482,145863.24242017072,405.2502199346243,352.2946188550629,109.36247032549724,42.42828822177934
8,127988.4197882098,436.81152183294125,324.460857045232,157.76128243813866,20.989261914878877,137594.5459878868,399.4155620327766,320.7664136781663,125.64853150989029,33.38508878218776,127457.51750769492,520.901067329129,432.919813773407,150.37941541718575,70.95488253454245,136129.84357975423,334.08554821846644,347.35225096085117,121.70098982643341,40.54571047567812,147756.8902481512,206.6716406481572,225.32371918070277,69.73333801357676,32.788107936758635,159524.53974301126,216.73798347325024,158.87004265941312,76.24350947473503,33.912791798034746,151724.4234104157,280.78950215493853,170.3322911168294,99.78954458015978,33.93055284386891,135462.0475798339,144.69430371666596,421.2272375460442,202.55364898159758,33.47881574003458,132790.05326357554,312.04880788879575,425.8780128191012,180.68300681199858,44.945195318198934,134604.57814353675,247.0021241292463,409.0801602094612,173.0379728376862,40.31150661125389,137139.7234353744,278.52801333141326,439.59978841589833,183.29063286727333,46.263739999921846,155972.25897836563,223.6045438414709,327.21762446035143,182.6088210568826,31.099507962254272,121096.81175608076,1609.404265559331,1179.8201353944899,437.82311543329257,247.9067572224061,145670.8461958727,427.2260921026019,352.7380643052613,167.73203819076423,42.854002403623504
9,127487.91859011912,308.8120425368761,226.42671075517907,168.48754925166224,24.48814375031693,135694.63899014387,284.9891410630641,191.29220324883704,158.53062090700655,51.4186910047004,122926.54843330581,289.35231476509404,264.84994792627396,187.74880647194573,54.74753437098435,133591.55980893943,183.270521518255,168.40207855344502,120.70683999121941,29.40440370624211,145548.0339319764,240.52750167443668,142.62865331869165,100.38647475786827,47.71189127458615,158158.328008364,122.3797869934459,102.89790473851237,79.95681506595105,34.46130015620937,149544.16895370715,252.304045237597,140.78686578141398,120.51077480360262,48.155746997308924,133140.98050919577,312.96294500469605,179.01028814145104,248.61596012738048,71.2392342626172,131096.78032881755,176.07606625026585,140.06541453355243,182.96113809560967,37.51346280716029,133035.56608903693,202.1732154197438,166.3375293368347,222.02867984256355,46.155790914651114,135091.73510374367,149.64793376719172,198.21964886974757,175.45555818628867,38.73313799750405,154852.10673603602,456.06925517962253,306.38684559268563,254.65438372705447,84.37841813064661,110951.71714499705,297.55548032303824,353.7623797398301,151.20502016546533,49.845261227707894,142494.27615730825,178.01979337143817,254.8894118997354,181.8200692254794,39.427494600067256
