,AF3_Delta,AF3_Theta,AF3_Alpha,AF3_Beta,AF3_Gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,FC5_Delta,FC5_Theta,FC5_Alpha,FC5_Beta,FC5_Gamma,T7_Delta,T7_Theta,T7_Alpha,T7_Beta,T7_Gamma,P7_Delta,P7_Theta,P7_Alpha,P7_Beta,P7_Gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,P8_Delta,P8_Theta,P8_Alpha,P8_Beta,P8_Gamma,T8_Delta,T8_Theta,T8_Alpha,T8_Beta,T8_Gamma,FC6_Delta,FC6_Theta,FC6_Alpha,FC6_Beta,FC6_Gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,AF4_Delta,AF4_Theta,AF4_Alpha,AF4_Beta,AF4_Gamma
0,145722.176643365,134.76366365361505,161.89628920737755,56.57398698778723,22.405430809487136,129017.00888562774,132.58401982822238,92.81192814419435,70.88572568754003,21.23087098363329,148996.66843322045,127.64242044032682,201.57600619702902,68.5006901647231,19.31671397313185,128053.67039466553,76.06469801661163,51.86702727844771,60.25160948943275,20.534874620575476,154237.96136330377,68.08242325850433,67.69604231883329,49.72682270237964,22.551140862175426,140902.87498723672,86.58998889500329,55.660503601985084,50.078383822191775,19.478137981409805,141567.81743410768,167.6742805310717,62.706457583357604,49.2825774977495,26.053584284238507,130626.538230857,130.8993298864987,103.72265931279227,70.4420151245059,32.30342037359704,119907.7520593753,147.39308342344503,87.27851973342487,64.80282572115257,26.402333755728264,138263.40020743574,147.50909727086034,109.13551509036192,85.50761091074637,27.991541633522708,139386.47169651018,184.6910202558131,162.74588749165963,85.48821287847507,21.92794922019256,139544.31476538003,177.07694500634275,227.66711376942908,66.58050486285518,23.4381391158751,140446.17637854558,450.6085442532076,207.23545272462638,177.27642423793375,75.4952649474232,144481.16289381648,714.079306724062,479.7368898466802,177.9517488960227,82.04591130911577
1,146204.35905645983,203.99141100025776,124.35094417424254,58.277784813999574,26.895432865822606,131282.70848521867,296.74940062010177,141.24968204903004,62.8074244304115,23.902207220275233,148966.9321845564,152.3516009950715,155.2973821323813,59.78780233381066,20.88249848646236,129366.00308118119,158.5357791368899,105.22489896270362,54.668039421511835,20.7446437654341,154727.7052418091,102.36575413324786,75.06820894538951,52.073008882014136,20.90984569932204,141201.43082831698,82.0155038053121,80.91435720701338,53.749899119816604,16.516615351712304,141012.65157776905,209.94085216650868,124.4616619943446,83.29585554595111,40.00913226723248,130408.22513841471,128.6552766031615,159.2359366268032,81.7812521891168,22.654383474701923,119401.23676287889,154.1610182142661,133.18264836022013,85.9161934718127,24.096076004305573,138083.87838268426,308.7472878791011,187.46481837605285,97.26100493281373,26.69401730280765,138572.3182571197,485.92176455461646,250.77051649591243,78.90210270675158,30.512968992445042,139225.5008500276,313.7343676693608,215.41448745502208,79.33213094892709,20.496993611868543,138288.89312064214,631.5874922033767,304.7393625528029,82.28500947358569,23.468541092144527,144326.0061912648,456.7450717561827,243.11147859493477,94.36171008334786,49.1657317385341
2,145509.27588658608,182.20355050469982,169.40861590309385,84.61942173135499,27.100991511285482,130575.89238440573,213.6125567772016,152.16191032946026,79.11503351211371,22.450196974068398,149096.4089298562,231.90528182288188,163.85047774103754,97.39823074854618,33.72475702210913,129152.05736958579,146.31686998772386,107.44154034569561,65.77337463189498,24.765687848326515,154134.83412258408,64.50301772534014,60.03497364570509,53.358822505513245,19.332362054954128,140895.6173696636,84.79263884806124,88.75130810733066,41.09282682999112,17.8065626400008,139798.7635726874,241.54061410631914,112.54039435926396,61.28673375608806,27.503474927082276,130709.61654431712,179.27803242858343,126.34091893920223,78.50869404783037,22.707401925955534,119478.52896298208,166.3120693368999,59.366024047371624,75.19595632219789,37.60573700484869,137888.49929014486,308.96168838907937,144.51048664849782,116.17372286297307,54.251960235920386,138028.41638932793,355.2820138831197,175.66778661671236,106.72983709535629,45.51224929439336,139415.387581699,311.0403828528876,158.19246839941593,114.94801376301196,49.88237374330334,137110.79546015087,546.1807968366525,224.15616534299085,120.91074805159542,72.74986176849112,141833.8743750209,283.47604619178986,146.8784986559158,94.65515854294387,42.80086678638059
3,145756.44635991295,519.8582542152233,178.3821205736528,65.11837676798069,22.13677932437643,129983.20531959954,449.7104964349504,178.663425703008,67.3229139712391,22.932360428486387,148746.3203263032,191.06870820668934,69.20754313033098,63.39377807804889,25.512291789475352,128926.06522331838,240.09574434652325,92.5127807155931,55.74675417382664,19.07381254155984,154166.36545418898,98.58280531751421,100.39772756054158,53.732576513268356,21.468602139145716,141005.21953411636,87.03949757831113,85.1588455922932,49.29220765914497,14.270873619816909,138980.59174936454,207.42284549280376,103.27799239767543,58.18782390252477,24.148872899630703,130773.67971859676,220.83018775285905,136.28735272997554,62.71408980244208,18.47139451047891,119356.71761427383,175.938149928648,126.28713541940138,53.22124412490974,18.497791737327336,138223.46378742607,208.10087633432465,171.95775174492246,68.05308663544662,27.4300219951201,139086.2461868868,283.0259261649107,200.33465376035448,69.56124429158908,22.71206586859675,139469.5993194889,249.3029912600554,175.6828310538084,68.13407725489418,24.318869702324985,139281.0851829189,423.22421727520884,261.7450665525554,68.98092218370033,22.111128821917763,143565.4728076969,594.5027787430337,272.7778382653332,152.47816169321126,75.73285938503437
4,145119.52108522455,333.6359634147216,133.18935802504217,105.81715908981279,30.92567429072508,129839.94889643897,323.72836470032,243.3797434044297,83.78880797052675,25.328870561601626,148486.10331998614,220.7573474508031,67.67791561796776,86.82621354796784,33.895860379380004,128739.9695029335,225.90687632223242,125.41863094214058,65.33085563930085,20.996995354357413,153930.40737193273,202.8672900619913,103.77363140471972,59.63580003109951,31.029610499282544,140859.9414828869,107.74301983658631,53.15850022086522,42.40292361502706,19.089457145512654,138662.40075574353,267.74359148813056,105.73632982543478,60.138797703622004,20.306417120436482,129699.7366709796,212.26423217927493,185.2998622844312,75.3182528791749,33.18154554535172,118370.14288494288,165.90998280083366,152.42066689571635,65.51494663939505,30.059271246614436,136595.93605120658,272.45544545036614,229.23951555364653,97.52036513631498,49.688938927592496,137383.6686115797,344.1961730765297,206.00749004488625,119.880183969355,64.04778173080172,138632.96075011225,331.04664460557467,124.88064459503981,106.83279640890795,50.09028901330703,135617.39766041457,287.1434233283741,158.64063016324195,89.17283633610069,36.744116016251944,138913.81368392732,323.7059798310771,146.9541902080629,78.64054118433452,26.026139584039676
5,143368.08585226838,132.09359749899804,74.55384121310868,62.83101638630756,34.61039892610072,130348.30693083983,426.0479464450562,188.18022300081927,81.82852972568602,69.61282476513041,147777.1476328861,121.97730951119172,129.79474609966468,61.68397858993683,34.21891518864969,129419.57622534201,128.35158006266994,86.25329703433783,46.297222058533116,33.390610388952595,153241.8547886164,149.4804683059907,78.00622096686777,46.248409586215544,35.27011644008018,140806.34325227476,101.97371546179065,67.80741789882872,38.41526130078523,24.04931767809595,138335.02636552372,145.30678580653287,93.3073125694561,73.03765542105552,26.80199930793054,128821.31530289378,139.94864230007875,114.68012109059003,49.15457063516341,25.87117950064481,117774.56402181237,148.7193533369109,105.80328566991521,54.36013727018228,30.193371607481296,135023.1601158701,194.4420019440741,174.13978575479774,69.74443658132162,34.701063820474126,135815.57057037996,314.00121278011915,193.9832646750104,98.54635971155052,27.17209563551054,136667.4285746265,242.04572786485403,143.94864208543424,64.60331573873628,28.461779011451913,136261.00483726218,420.1152002229952,291.5689835067175,133.29902382048041,41.514439211900616,135204.2463604169,615.6627018261024,283.30552670779633,157.94760391828137,100.18408199202041
6,143383.67907208815,157.14975769167168,134.65766903985542,61.8029687482551,19.574748642523677,128166.70566405766,183.52561720562898,130.75782631300822,58.923400558208044,26.634543831261535,147304.71055757444,195.12039789993545,81.76254729356681,64.65469041253424,24.054995350849456,128035.54855046327,101.77940866039114,99.5053950758028,55.16054661879899,19.55126601873245,152363.52300308546,145.90202283036322,82.82664878521722,55.42893647582167,24.670900221201045,140154.45555007368,136.926701430718,85.62351227498043,57.60142155282007,20.66992750163525,138973.8005333981,271.1907869134987,122.05354525357569,94.89928061091842,51.70276782990492,128956.6129704109,232.2522753662597,88.69751460239814,86.8362912780935,38.981487038108774,117679.59132425615,232.36732213078318,60.52622342272478,73.5958058970943,31.71418523704263,135582.65870143502,255.55239510641815,93.44342976830148,91.26170547379009,47.81937969511356,136025.24750480134,220.29956200406107,133.8478983710651,69.83460590496641,29.59489384688303,136927.1663901074,268.50404060733507,101.91870883498747,88.54334245054731,32.35959785120983,137839.88513752664,404.345210663624,99.81262743776875,124.65497140205409,56.8590719111612,137126.89071198163,736.7494154179917,269.14541239290236,207.13904984441285,102.2733014657989
7,143644.30361920068,123.688896470384,152.04085724473254,76.50239015421695,28.340586768901314,128250.36008136005,184.8508221730244,114.0242081345388,82.45873052223078,31.022186956144957,147133.54672610172,34.16140417060791,143.1162776852986,56.37407915764572,21.15265363531666,127734.49027423163,77.2619182898684,65.02054243918312,56.60504855018513,23.280483530694433,152367.8317122309,105.38717395106308,66.38304608605776,46.98396305323083,21.48579558654566,140111.1042497686,108.26658077219432,48.96116196745328,41.06672529034249,13.274949951132518,140731.41847526465,276.7642581019942,130.59483487716165,82.86306232692712,25.880451492085932,128763.3254544783,167.35328229758028,68.12177602225034,61.404850403644055,28.68553049870265,118270.93591281805,135.37148072195947,76.17713470772522,57.00835870996629,26.280479266329486,136127.4377987446,142.97074438268183,112.39496069875747,77.25732397147362,37.48935715304356,135878.56816292572,141.00067695918213,88.58089979778683,66.86814386968084,29.604857246055765,136795.3747048677,87.47084189490485,132.6657987349565,60.2099837484132,22.134077549993187,139845.75499549785,223.67553585196265,121.9448599208838,70.01878040569903,27.721163562810204,137842.85322819624,78.85042947451518,107.37434701269207,63.24655038271443,22.825330149603385
8,143480.99400943372,334.5537270869129,163.63474661837597,96.59304863515777,38.919807484265,129487.78845740309,326.95170232022883,193.54013183374582,110.96390740648141,41.72365173762486,146784.32938254354,410.990628741886,199.0614811508983,90.72393114301687,40.29199997328802,134712.49145733632,1156.540513587792,754.3491778219845,366.68397701109365,202.19118564739696,152433.6655438105,221.46739649177908,82.67497646325597,70.28335675953338,25.551807946281038,140183.50602594367,128.45089137593925,56.57832504439068,57.74416715845671,15.446602746993248,141411.9351334639,395.4316636428263,241.82697054480434,98.90844181163894,51.69617089028752,128394.44668723307,266.966060719137,180.38643036526645,104.56216208456729,37.74610502990045,117848.74720394984,188.01545880511677,113.35427903150773,81.93788950576514,23.676913946432027,134977.63098102392,279.24556342112857,166.7392584473779,97.49630747384349,28.970633887677888,134654.40101533872,402.1428854617,205.70201677541064,118.25557607574221,46.0522534324848,135891.40278105778,467.0844362749484,245.8082849187854,123.4324121030379,42.423179223037316,137342.53121329748,436.4406765342465,244.45339722490723,108.76412862233023,45.70166776660544,136669.45552942296,249.62665438615997,141.40584233401205,84.50894230713226,26.036305492373167
9,137523.23533232827,1020.757068307823,724.9559004331397,366.001560760411,175.3983672999958,122134.7808613859,1163.9471192335254,782.7408548503751,382.5479185895247,191.84161729778435,140402.4330056319,1076.8154233066252,747.9511030870417,378.40300072724517,187.98308028711327,133174.22016200583,2236.8701930207267,1333.7599273375565,657.8602440847621,339.00506189951983,146697.58847259282,1065.2930899457654,683.429711191293,340.0216493135499,170.72012454144368,136228.39149438447,934.0687442158924,606.8020012143566,310.51179004686145,159.2189575962688,133484.22663037863,1271.8309091274818,870.8212259081857,423.0312195625508,213.36869329002172,122584.59390440292,1081.213357280558,688.2613773506553,370.906922510276,189.528929172943,112919.04518676408,1058.6401864721038,672.2883585257789,344.23552464120246,179.2507698849291,129454.43275778244,1052.6260242980707,730.0218701668914,356.42792450730485,182.5946533136088,129328.89955417503,939.0392693469959,659.8662515675564,336.6374362952023,163.06031211691996,130261.58820881443,945.2455297954299,672.6466570708701,331.0449762579649,170.82359889628816,132530.45250529615,787.707556058108,603.582285104004,279.1201999145497,145.67523406532956,133747.89028785084,495.69467276184974,420.1051862852472,188.81074689249294,98.6865486493714
